,Unnamed: 0.1,Unnamed: 0,date,open,high,low,close,volume
0,0,0,2023-05-24 21:16:00+00:00,171.68,171.68,171.65,171.65,2031.0
1,1,1,2023-05-24 21:17:00+00:00,171.65,171.67,171.65,171.65,6786.0
2,2,2,2023-05-24 21:18:00+00:00,171.65,171.69,171.5,171.65,2052.0
3,3,3,2023-05-24 21:19:00+00:00,171.5,171.64,171.5,171.5,3675.0
4,4,4,2023-05-24 21:20:00+00:00,171.51,171.65,171.5,171.6,1665.0
5,5,5,2023-05-24 21:21:00+00:00,171.51,171.65,171.3,171.5,8545.0
6,6,6,2023-05-24 21:22:00+00:00,171.5,171.54,171.33,171.52,4156.0
7,7,7,2023-05-24 21:23:00+00:00,171.49,171.65,171.49,171.64,413.0
8,8,8,2023-05-24 21:24:00+00:00,171.56,171.6,171.5,171.5,3010.0
9,9,9,2023-05-24 21:25:00+00:00,171.51,171.51,171.31,171.31,1495.0
