,Unnamed: 0,date,open,high,low,close,volume
0,0,2023-02-02 09:00:00+00:00,147.14,147.49,146.56,147.0,79604.0
1,1,2023-02-02 09:30:00+00:00,147.0,147.02,146.9,146.98,16681.0
2,2,2023-02-02 10:00:00+00:00,146.98,147.15,146.96,146.99,34126.0
3,3,2023-02-02 10:30:00+00:00,146.98,147.0,146.83,146.96,9968.0
4,4,2023-02-02 11:00:00+00:00,147.0,147.09,146.7,147.03,14450.0
5,5,2023-02-02 11:30:00+00:00,146.99,147.06,146.82,146.94,18256.0
6,6,2023-02-02 12:00:00+00:00,146.95,147.25,146.7,147.15,76507.0
7,7,2023-02-02 12:30:00+00:00,147.16,147.7,147.15,147.69,95430.0
8,8,2023-02-02 13:00:00+00:00,147.66,147.8,146.0,147.71,427283.0
9,9,2023-02-02 13:30:00+00:00,147.7,148.38,147.45,148.33,404778.0
