,Unnamed: 0,date,open,high,low,close,volume
0,0,2023-05-11 08:00:00+00:00,112.12,112.56,112.12,112.46,4547.0
1,1,2023-05-11 08:05:00+00:00,112.51,112.77,112.5,112.75,2017.0
2,2,2023-05-11 08:10:00+00:00,112.75,112.78,112.65,112.65,2144.0
3,3,2023-05-11 08:15:00+00:00,112.65,112.65,112.65,112.65,739.0
4,4,2023-05-11 08:20:00+00:00,112.8,112.91,112.79,112.9,4049.0
5,5,2023-05-11 08:25:00+00:00,112.9,112.9,112.85,112.87,1643.0
6,6,2023-05-11 08:30:00+00:00,112.87,112.9,112.87,112.9,1587.0
7,7,2023-05-11 08:35:00+00:00,112.9,112.9,112.9,112.9,1700.0
8,8,2023-05-11 08:40:00+00:00,112.86,112.86,112.85,112.85,984.0
9,9,2023-05-11 08:45:00+00:00,112.85,113.18,112.83,113.18,3148.0
