,Unnamed: 0,date,open,high,low,close,volume
0,0,2023-02-02 09:00:00+00:00,185.11,185.84,184.04,185.45,150899.0
1,1,2023-02-02 09:30:00+00:00,185.43,186.6,185.38,186.4,85245.0
2,2,2023-02-02 10:00:00+00:00,186.42,186.9,186.0,186.3,106582.0
3,3,2023-02-02 10:30:00+00:00,186.3,186.32,185.61,185.88,68222.0
4,4,2023-02-02 11:00:00+00:00,185.88,186.35,185.49,186.25,50340.0
5,5,2023-02-02 11:30:00+00:00,186.19,186.3,185.51,186.07,56849.0
6,6,2023-02-02 12:00:00+00:00,185.9,186.06,184.61,184.9,309645.0
7,7,2023-02-02 12:30:00+00:00,184.87,185.56,184.75,185.33,246012.0
8,8,2023-02-02 13:00:00+00:00,184.15,186.65,184.15,185.5,770667.0
9,9,2023-02-02 13:30:00+00:00,185.52,187.98,185.45,187.97,1018180.0
